Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
3,5,68.82,70.779999,68.43,70.610001,67.182823,5589800
4,5,70.260002,70.360001,67.529999,68.470001,65.14669,6530600
5,5,68.07,68.370003,66.650002,67.93,64.632904,5807800
1,5,66.839996,67.809998,66.470001,66.629997,63.395996,7266900
2,5,67.43,67.849998,65.279999,65.809998,62.615791,7885500
3,5,66.400002,68.5,65.82,66.790001,63.548233,5683300
4,5,66.529999,67.389999,65.665001,67.040001,63.786095,6035700
5,5,67.5,68.32,67.260002,67.559998,64.280853,3924400
1,5,67.309998,68.596001,66.68,67.980003,64.680473,4028300
2,5,69.610001,70.291,68.900002,69.970001,66.573883,4502600
3,5,69.410004,70.379997,68.495003,68.910004,65.565331,4623900
4,5,68.309998,69.57,67.800003,68.760002,65.422607,4988400
5,5,68.879997,69.730003,66.870003,68.110001,64.804161,5232200
1,5,67.800003,68.129997,66.839996,67.489998,64.214256,6582300
2,5,67.199997,67.389999,65.470001,67.07,63.814636,4664400
3,5,66.709999,67.68,66.400002,67.300003,64.033478,6264900
4,5,67.169998,68.290001,66.910004,67.839996,64.547264,5732800
5,5,67.589996,69.07,67.32,69.059998,66.393127,4784300
2,5,68.639999,68.75,67.614998,67.980003,65.354828,7876000
3,6,68.650002,69.788002,67.995003,68.110001,65.479805,5958100
4,6,68.43,68.970001,67.099998,68.099998,65.470192,4598700
5,6,67.589996,68.160004,66.68,67.029999,64.441505,4966800
1,6,67.040001,67.610001,66.669998,67.07,64.479965,3117300
2,6,66.760002,67.459999,66.419998,67.370003,64.768387,4873800
3,6,67.059998,67.809998,66.849998,67.239998,64.64341,3200900
4,6,66.900002,67.014999,65.809998,65.860001,63.316696,3113400
5,6,65.010002,65.080002,61.860001,61.869999,59.480774,6448900
1,6,60.490002,60.580002,57.970001,58.68,56.413967,8509300
2,6,58.279999,59.130001,57.459999,58.560001,56.298595,7128900
3,6,59.02,59.66,56.764999,57.41,55.193008,6387900
4,6,55.669998,55.970001,54.650002,55.419998,53.27985,7641800
5,6,55.16,55.959999,53.970001,54.77,52.654957,12735800
2,6,56.34,56.689999,54.91,54.950001,52.828007,6391700
3,6,52.299999,52.790001,51.57,52.34,50.318798,10383100
4,6,52.25,52.650002,50.419998,51.060001,49.088226,9662000
5,6,51.509998,53.799999,51.189999,53.139999,51.087902,9109000
1,6,52.900002,53.299999,51.970001,52.220001,50.203434,7507300
2,6,52.799999,54.150002,52.345001,52.529999,50.501457,5169400
3,6,52.709999,53.009998,51.279999,51.98,49.972698,4392800
4,6,51.16,52.139999,50.849998,51.610001,49.616985,5848000
5,7,50.91,52.040001,49.900002,51.689999,49.693893,5255100
2,7,50.77,50.82,49.355,50.73,48.770969,5891000
3,7,50.619999,51.25,50.035,51.18,49.20359,5657000
4,7,52.139999,52.810001,51.740002,52.279999,50.261108,5507600
5,7,52.43,52.880001,51.305,51.380001,49.395866,4226900
1,7,50.740002,51.349998,50.509998,51.009998,49.040154,3919100
2,7,50.889999,51.564999,50.25,50.419998,48.472939,6068200
3,7,50,50.209999,49.029999,49.669998,47.7519,6071500
4,7,48.740002,49.07,48.27,48.900002,47.011639,4969400
5,7,49.73,50.240002,49.169998,49.549999,47.636536,4809900
1,7,50.419998,51.049999,50.200001,50.470001,48.521008,4839000
2,7,51.150002,52.810001,51.080002,52.450001,50.424549,6999400
3,7,52.450001,52.669998,51.810001,52.549999,50.520683,5977700
4,7,50.57,51.439999,49.950001,51.400002,49.415096,10059700
5,7,51.5,51.810001,50.439999,50.849998,48.886333,5074800
1,7,51.169998,51.970001,51.029999,51.580002,49.588146,5933200
2,7,51.169998,51.799999,50.950001,51.299999,49.318958,4130900
3,7,51.439999,52.479,51.209999,52.240002,50.22266,4342000
4,7,52.450001,52.91,51.759998,52.299999,50.280338,6137900
5,7,52.759998,53.794998,52.470001,53.209999,51.155193,9754300
1,8,52.580002,52.599998,51.43,52.459999,50.434162,5913400
2,8,52.299999,52.669998,51.540001,51.549999,49.559303,5797800
3,8,52,52,51.335999,51.490002,49.501617,5139300
4,8,51.310001,51.700001,50.860001,50.990002,49.020927,6963700
5,8,50.77,51.77,50.73,51.490002,49.501617,5954500
1,8,51.880001,52.759998,51.799999,52.150002,50.136131,4511400
2,8,52.150002,52.849998,52.110001,52.720001,50.684124,4339000
3,8,53.849998,54.654999,53.810001,54.040001,51.953148,5998300
4,8,54.759998,55.720001,54.759998,55.259998,53.126034,5066200
5,8,55.330002,55.939999,55.310001,55.93,53.770161,4389100
1,8,55.48,55.5,54.860001,55.34,53.202942,5991700
2,8,55.360001,56.424999,55.34,56.110001,53.943211,3925900
3,8,55.52,55.91,55.009998,55.459999,53.31831,4198000
4,8,55.720001,56.224998,55.419998,56.02,53.856686,3561500
5,8,55.68,55.919998,55.150002,55.490002,53.347153,3517800
1,8,54.490002,54.698002,53.900002,54.41,52.308857,6342700
2,8,54.66,55.759998,54.529999,55.619999,53.47213,3894500
3,8,55.5,55.639999,54.080002,54.240002,52.145424,6957200
4,8,54.830002,55.790001,54.757,55.759998,53.606728,5736200
5,8,55.98,56.369999,54.259998,54.459999,52.35693,5777700
1,8,53,54.009998,52.540001,53.57,51.501297,9304900
2,8,52.830002,52.959999,51.259998,51.380001,50.04987,7452200
3,8,51.240002,51.639999,50.580002,51,49.679707,6069600
4,9,50.459999,50.490002,49.139999,49.959999,48.66663,6378300
5,9,50.529999,50.759998,48.904999,49.310001,48.033459,5124900
2,9,49.900002,50.080002,48.34,48.59,47.3321,8104700
3,9,48.34,49.244999,48.029999,48.970001,47.702263,6517500
4,9,48.490002,49.509998,47.950001,49.400002,48.121132,5964100
5,9,50.23,50.715,50.02,50.509998,49.202389,6265600
1,9,51.290001,51.790001,50.799999,50.93,49.611519,5042800
2,9,48.75,49.619999,47.555,47.869999,46.630733,9104300
3,9,47.610001,47.869999,46.380001,47.07,45.851448,11484300
4,9,47.099998,47.759998,46.689999,46.91,45.695591,6535500
5,9,46.009998,46.799999,45.41,46.419998,45.218273,10059000
1,9,45.639999,46.880001,45.470001,46.740002,45.529991,4900300
2,9,45.950001,46.279999,45.369999,46.09,44.896816,4996000
3,9,46.419998,46.59,44.970001,44.98,43.815556,5819100
4,9,45.279999,45.549999,44.75,44.77,43.610989,4652900
5,9,44,44.200001,43.040001,43.900002,42.763512,6729600
1,9,43.52,44.259998,43.16,43.389999,42.266716,5497600
2,9,43.939999,44.169998,43.275002,43.790001,42.656361,5444700
3,9,44.080002,45.509998,43.91,45.049999,43.883743,8315400
4,9,44.5,44.689999,43.490002,44.16,43.016781,4904800
5,9,44.169998,44.84,43.799999,43.93,42.792736,5869800
1,10,44.939999,45.740002,44.450001,45.279999,44.107784,6868700
2,10,45.799999,46.73,45.625,46.619999,45.413097,6959800
3,10,45.919998,46.439999,45.509998,46.060001,44.867596,5564500
4,10,45.700001,46.099998,45.314999,45.52,44.341576,5430600
5,10,45.049999,45.439999,44.200001,44.41,43.260307,5265100
1,10,44.98,45.439999,44.560001,44.880001,43.718143,4686100
2,10,44.279999,44.790001,43.419998,43.950001,42.812222,5222700
3,10,43.939999,44.23,43.540001,43.810001,42.675842,4982100
