Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
2,5,520,520,520,520,520,0
3,5,520,520,520,520,520,0
4,5,520,540,520,520,520,20000
5,5,520,520,520,520,520,0
1,5,520,520,520,520,520,0
2,5,520,520,520,520,520,0
3,5,520,520,520,520,520,0
4,5,520,520,520,520,520,0
5,5,525,540,525,525,525,10000
1,5,525,540,525,525,525,20000
2,5,525,535,520,520,520,20000
3,5,520,520,520,520,520,0
4,5,520,520,520,520,520,0
5,5,520,520,520,520,520,0
2,5,520,520,520,520,520,0
3,5,520,520,520,520,520,0
4,5,520,520,520,520,520,0
5,5,520,520,520,520,520,0
1,6,520,520,520,520,520,0
2,6,525,540,525,525,525,10000
3,6,525,540,525,525,525,20000
4,6,525,525,525,525,525,0
5,6,525,540,525,525,525,10000
1,6,525,540,525,525,525,10000
2,6,525,540,525,525,525,10000
3,6,525,525,525,525,525,0
4,6,525,540,525,525,525,10000
5,6,525,540,525,525,525,20000
1,6,525,540,525,525,525,10000
2,6,525,540,525,525,525,20000
3,6,525,525,525,525,525,0
4,6,525,535,520,520,520,10000
5,6,520,520,520,520,520,0
1,6,520,530,520,520,520,100000
2,6,520,530,515,515,515,20000
3,6,515,515,515,515,515,0
4,6,515,515,515,515,515,0
5,6,515,515,515,515,515,0
1,6,515,515,515,515,515,0
2,6,515,525,510,510,510,10000
3,7,510,525,510,510,510,20000
4,7,510,515,500,500,500,10000
1,7,500,505,490,490,490,10000
2,7,490,505,490,490,490,30000
3,7,490,505,490,490,490,10000
4,7,490,490,490,490,490,0
5,7,490,500,480,480,480,10000
1,7,480,480,480,480,480,0
2,7,480,480,480,480,480,0
3,7,480,480,480,480,480,0
4,7,480,480,480,480,480,0
5,7,480,480,480,480,480,0
1,7,480,490,470,470,470,40000
2,7,470,470,470,470,470,0
3,7,470,490,470,470,470,20000
4,7,470,470,470,470,470,0
5,7,470,490,470,470,470,30000
1,7,470,470,470,470,470,0
2,7,480,495,480,480,480,10000
3,7,480,500,480,480,480,20000
4,7,485,500,485,485,485,10000
5,7,485,485,485,485,485,0
1,8,485,485,485,485,485,0
2,8,485,485,485,485,485,0
3,8,485,485,485,485,485,0
4,8,485,505,485,485,485,10000
5,8,485,485,485,485,485,0
1,8,485,485,485,485,485,0
2,8,485,485,485,485,485,0
3,8,500,520,500,500,500,10000
4,8,520,535,520,520,520,60000
5,8,520,520,520,520,520,0
1,8,520,530,515,515,515,10000
2,8,515,530,515,515,515,10000
3,8,515,530,515,515,515,10000
4,8,515,515,515,515,515,0
5,8,515,515,515,515,515,0
1,8,515,515,515,515,515,0
2,8,515,520,500,500,500,10000
3,8,500,500,500,500,500,0
4,8,500,500,500,500,500,0
5,8,500,500,500,500,500,0
1,8,500,500,500,500,500,0
2,9,500,505,485,485,485,10000
3,9,485,500,485,485,485,10000
4,9,485,500,485,485,485,10000
5,9,485,485,485,485,485,0
2,9,485,485,485,485,485,0
3,9,485,485,485,485,485,0
4,9,485,505,485,485,485,20000
5,9,485,485,485,485,485,0
1,9,485,485,485,485,485,0
2,9,485,500,485,485,485,20000
3,9,485,485,485,485,485,0
4,9,485,485,485,485,485,0
5,9,485,485,485,485,485,0
1,9,485,485,485,485,485,0
2,9,485,485,485,485,485,0
3,9,485,495,475,475,475,10000
4,9,475,475,475,475,475,0
5,9,475,480,465,465,465,10000
1,9,465,480,460,460,460,10000
2,9,460,480,460,460,460,10000
3,9,460,480,460,460,460,10000
4,10,460,460,460,460,460,0
5,10,460,460,460,460,460,0
1,10,460,460,460,460,460,0
2,10,460,460,460,460,460,0
3,10,460,460,460,460,460,0
4,10,460,460,460,460,460,0
5,10,460,460,460,460,460,0
1,10,465,480,465,465,465,10000
2,10,465,465,465,465,465,0
3,10,470,485,470,470,470,50000
4,10,470,470,470,470,470,0
5,10,470,470,470,470,470,0
1,10,470,470,470,470,470,0
2,10,470,470,470,470,470,0
3,10,480,495,480,480,480,10000
4,10,480,500,480,480,480,10000
5,10,485,505,485,485,485,20000
1,10,485,500,485,485,485,10000
2,10,485,505,485,485,485,10000
3,10,485,485,485,485,485,0
4,10,485,485,485,485,485,0
5,10,505,525,505,505,505,10000
1,11,505,525,505,505,505,10000
2,11,520,535,520,520,520,30000
3,11,520,520,520,520,520,0
4,11,520,520,520,520,520,0
5,11,520,535,515,515,515,10000
1,11,515,515,515,515,515,0
2,11,515,515,515,515,515,0
3,11,515,515,515,515,515,0
4,11,515,515,515,515,515,0
5,11,515,535,515,515,515,10000
1,11,515,515,515,515,515,0
2,11,515,515,515,515,515,0
3,11,515,530,515,515,515,10000
4,11,530,545,530,530,530,10000
5,11,540,560,540,540,540,10000
1,11,560,575,560,560,560,10000
2,11,560,560,560,560,560,0
3,11,560,560,560,560,560,0
5,11,575,590,575,575,575,10000
1,11,575,575,575,575,575,0
2,12,575,575,575,575,575,0
3,12,575,575,575,575,575,0
4,12,575,575,575,575,575,0
5,12,590,605,590,590,590,10000
1,12,590,600,585,585,585,40000
2,12,585,585,585,585,585,0
3,12,570,570,555,555,555,30000
4,12,555,555,555,555,555,0
5,12,555,555,555,555,555,0
1,12,555,555,555,555,555,0
2,12,555,555,555,555,555,0
3,12,555,555,555,555,555,0
4,12,555,555,555,555,555,0
5,12,560,575,560,560,560,20000
1,12,560,575,560,560,560,10000
2,12,560,560,560,560,560,0
3,12,560,570,560,560,560,10000
4,12,560,560,560,560,560,0
1,12,560,560,560,560,560,0
2,12,560,570,560,560,560,30000
3,12,560,570,560,560,560,10000
4,12,560,560,560,560,560,0
1,1,560,570,560,560,560,10000
2,1,560,560,560,560,560,0
3,1,560,560,560,560,560,0
4,1,560,560,560,560,560,0
5,1,560,560,560,560,560,0
1,1,560,560,560,560,560,0
2,1,560,560,540,540,540,20000
3,1,540,555,540,540,540,10000
4,1,540,540,540,540,540,0
5,1,540,540,540,540,540,0
1,1,540,555,540,540,540,10000
2,1,540,550,535,535,535,10000
3,1,535,535,535,535,535,0
4,1,520,520,505,505,505,20000
5,1,505,520,505,505,505,20000
1,1,505,520,505,505,505,10000
2,1,505,520,505,505,505,10000
3,1,505,520,505,505,505,20000
4,1,505,520,505,505,505,20000
5,1,510,525,510,510,510,40000
1,2,510,525,510,510,510,10000
2,2,510,510,510,510,510,0
